Country,Month,Year,Confirmed_cases,Confirmed_deaths
Guinea,3,2014,112,70
Guinea,4,2014,109,76
Guinea,5,2014,60,40
Guinea,6,2014,109,84
Guinea,7,2014,70,69
Guinea,8,2014,188,91
Guinea,9,2014,426,218
Guinea,10,2014,593,370
Guinea,11,2014,488,294
Guinea,12,2014,552,396
Guinea,1,2015,210,202
Guinea,2,2015,238,181
Guinea,3,2015,337,223
Guinea,4,2015,86,69
Guinea,5,2015,74,46
Guinea,6,2015,93,53
Guinea,7,2015,36,39
Guinea,8,2015,9,7
Guinea,9,2015,15,5
Guinea,10,2015,3,3
Guinea,11,2015,0,0
Guinea,12,2015,0,0
Guinea,1,2016,0,0
Guinea,2,2016,0,0
Guinea,3,2016,7,7
Guinea,4,2016,3,1
