Country,Month,Year,Confirmed Cases,Confirmed Deaths
Sierra Leone ,3,2014,0,0
Sierra Leone ,4,2014,0,0
Sierra Leone ,5,2014,16,5
Sierra Leone ,6,2014,142,29
Sierra Leone ,7,2014,375,199
Sierra Leone ,8,2014,493,189
Sierra Leone ,9,2014,995,183
Sierra Leone ,10,2014,3317,905
Sierra Leone ,11,2014,1771,20
Sierra Leone ,12,2014,2337,1228
Sierra Leone ,1,2015,1072,441
Sierra Leone ,2,2015,783,262
Sierra Leone ,3,2015,673,338
Sierra Leone ,4,2015,424,102
Sierra Leone ,5,2015,429,11
Sierra Leone ,6,2015,302,20
Sierra Leone ,7,2015,258,19
Sierra Leone ,8,2015,216,2
Sierra Leone ,9,2015,308,2
Sierra Leone ,10,2015,156,0
Sierra Leone ,11,2015,55,0
Sierra Leone ,12,2015,0,0
Sierra Leone ,1,2016,2,1
Sierra Leone ,2,2016,0,0
Sierra Leone ,3,2016,0,0
Sierra Leone ,4,2016,0,0
